wuc,description,full_context
13AEF,APEX ATTACHING BOLT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEF APEX ATTACHING BOLT
13AEG,APEX BEARING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEG APEX BEARING
13AEH,ANTI-ROTATION BLOCK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEH ANTI-ROTATION BLOCK
13AEK,SAFETY SWITCH LINKAGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEK SAFETY SWITCH LINKAGE
13AF0,MAIN GEAR EMERGENCY EXTENSION,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION
13AFA,CENTER DRUM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFA CENTER DRUM
13AFB,DOWN CAM ROLLER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFB DOWN CAM ROLLER
13AFC,UNLOCK ARM PICK UP,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFC UNLOCK ARM PICK UP
13AFD,UNLOCK ARM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFD UNLOCK ARM
13AFE,UNLOCK ROD,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFE UNLOCK ROD
13AFF,CONTROL GEARBOX,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFF CONTROL GEARBOX
13AFG,EXTENSION CRANK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFG EXTENSION CRANK
13AFH,DOOR RELEASE BELLCRANK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFH DOOR RELEASE BELLCRANK
13AFJ,CONTROL DRIVE SHAFT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFJ CONTROL DRIVE SHAFT
13AFL,GEARBOX,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFL GEARBOX
13AFM,CABLE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFM CABLE
13AFN,CENTERING SPRING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AF0 MAIN GEAR EMERGENCY EXTENSION > 13AFN CENTERING SPRING
13AG0,MAIN GEAR LOCK MECHANISM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM
13AGA,LOCK ACTUATOR ROD,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGA LOCK ACTUATOR ROD
13AGB,EMERGENCY UNLOCK ROD,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGB EMERGENCY UNLOCK ROD
13AGC,LOCK BUNGEE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGC LOCK BUNGEE
13AGD,LOCK SWITCH ACTUATION LINKAGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGD LOCK SWITCH ACTUATION LINKAGE
13AGE,LOCK CRANK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGE LOCK CRANK
13AGF,HOOK ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGF HOOK ASSEMBLY
13AGG,CONNECTING LINK (CRANK-TO-HOOK),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGG CONNECTING LINK (CRANK-TO-HOOK)
13AGH,CENTERING BUNGEE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGH CENTERING BUNGEE
13AGJ,LOCK STOP ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AG0 MAIN GEAR LOCK MECHANISM > 13AGJ LOCK STOP ASSEMBLY
13AH0,TRUCK ASSY (W) (SC),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC)
13AHB,BRAKE SUPPORT FLANGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHB BRAKE SUPPORT FLANGE
13AHC,BRAKE EQUALIZER ROD (OUTBOARD),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHC BRAKE EQUALIZER ROD (OUTBOARD)
13AHD,BRAKE EQUALIZER ROD (INBOARD),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHD BRAKE EQUALIZER ROD (INBOARD)
13AHE,SNUBBER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHE SNUBBER
13AHF,CENTERING CYLINDER (SC),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHF CENTERING CYLINDER (SC)
13AHH,LEVELING SWITCH LINKAGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHH LEVELING SWITCH LINKAGE
13AHJ,CENTERING CYLINDER PISTON ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AH0 TRUCK ASSY (W) (SC) > 13AHJ CENTERING CYLINDER PISTON ASSEMBLY
13AJ0,MAIN GEAR DOORS,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS
13AJA,INBOARD DOOR,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJA INBOARD DOOR
13AJB,OUTBOARD DOOR,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJB OUTBOARD DOOR
13AJC,SAFETY BAR,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJC SAFETY BAR
13AJD,SAFETY BAR LINKAGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJD SAFETY BAR LINKAGE
13AJE,HINGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJE HINGE
13AJF,ACTUATOR ROD,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJF ACTUATOR ROD
13AJG,GUARD LINKAGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJG GUARD LINKAGE
13AJH,SUPPORT RODS,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJH SUPPORT RODS
13AJJ,WALKING BEAM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJJ WALKING BEAM
13AJK,WEATHER SEAL,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AJ0 MAIN GEAR DOORS > 13AJK WEATHER SEAL
13AK0,MAIN GEAR DOOR GROUND RELEASE SYSTEM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM
13AKA,HANDLE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKA HANDLE
13AKB,CABLES,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKB CABLES
13AKC,CAM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKC CAM
13AKD,BELLCRANK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKD BELLCRANK
13AKE,SPRING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKE SPRING
13AKF,PULLEYS,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKF PULLEYS
13AKG,PRESSURE SEAL,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AK0 MAIN GEAR DOOR GROUND RELEASE SYSTEM > 13AKG PRESSURE SEAL
13AL0,MLG SHOCK STRUT DOORS ASSY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY
13ALB,HINGE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALB HINGE
13ALC,DRAG STRUT BAND,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALC DRAG STRUT BAND
13ALD,DOOR STRUT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALD DOOR STRUT
13ALE,SUPPORT TRUNNION,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALE SUPPORT TRUNNION
13ALF,SHOCK STRUT BAND,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALF SHOCK STRUT BAND
13ALG,WEATHER SEAL,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALG WEATHER SEAL
13ALH,DOOR OPERATOR CRANK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AL0 MLG SHOCK STRUT DOORS ASSY > 13ALH DOOR OPERATOR CRANK
13AM0,MLG WHEEL AND TIRE ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY
13AMA,WASHER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMA WASHER
13AMC,WHEEL NUT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMC WHEEL NUT
13AMD,DUST COVER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMD DUST COVER
13AME,TIE BOLT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AME TIE BOLT
13AMF,TIRE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMF TIRE
13AMG,WHEEL ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMG WHEEL ASSEMBLY
13AMH,OVERPRESSURE RELIEF VALVE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMH OVERPRESSURE RELIEF VALVE
13AMJ,AIR VALVE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMJ AIR VALVE
13AMK,INNER BEARING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMK INNER BEARING
13AML,OUTER BEARING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AML OUTER BEARING
13AMM,HEATSHIELD,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMM HEATSHIELD
13AMN,HEATSHIELD BOLTS,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMN HEATSHIELD BOLTS
13AMP,SNAP RING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AM0 MLG WHEEL AND TIRE ASSEMBLY > 13AMP SNAP RING
13AN0,LANDING GEAR CONTROL CABLES,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES
13ANA,LGVA MLG UP CABLES ASSY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES > 13ANA LGVA MLG UP CABLES ASSY
13ANB,LGVB MLG DOWN CABLES ASSY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES > 13ANB LGVB MLG DOWN CABLES ASSY
13ANC,"NWSA, NWSB NOSE WHEEL STEERING CABLES ASSY","13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES > 13ANC NWSA, NWSB NOSE WHEEL STEERING CABLES ASSY"
13AND,"ELGELA, ELGELB, ELGERA, ELGERB MAIN GEAR EMERGENCY","13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES > 13AND ELGELA, ELGELB, ELGERA, ELGERB MAIN GEAR EMERGENCY"
13ANE,"PBLA, PBLB, PBRA, PBRB, CBLA, CBLB, CBRA, CBRB MAIN","13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AN0 LANDING GEAR CONTROL CABLES > 13ANE PBLA, PBLB, PBRA, PBRB, CBLA, CBLB, CBRA, CBRB MAIN"
13AP0,WHEEL ASSEMBLY (PN C20579000),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AP0 WHEEL ASSEMBLY (PN C20579000)
13APA,OVERPRESSURE RELIEF VALVE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AP0 WHEEL ASSEMBLY (PN C20579000) > 13APA OVERPRESSURE RELIEF VALVE
13B00,MLG HYDRUALIC SYSTEMS,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS
13B99,NOC,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13B90 > 13B99 NOC
13BA0,MAIN GEAR HYDRAULIC COMPONENTS,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS
13BAA,SIDE STRUT ACTUATOR PISTON ASSY,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAA SIDE STRUT ACTUATOR PISTON ASSY
13BAB,SIDE STRUT ACTUATOR,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAB SIDE STRUT ACTUATOR
13BAC,GEAR ACTUATOR,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAC GEAR ACTUATOR
13BAD,GEAR ACTUATOR PISTON ASSEMBLY,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAD GEAR ACTUATOR PISTON ASSEMBLY
13BAE,LOCK ACTUATOR,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAE LOCK ACTUATOR
13BAF,LOCK ACTUATOR PISTON ASSEMBLY,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAF LOCK ACTUATOR PISTON ASSEMBLY
13BAG,"ACTUATOR (POSITION SWITCH, DOOR CONTROL VALVE)","13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAG ACTUATOR (POSITION SWITCH, DOOR CONTROL VALVE)"
13BAH,DOOR ACTUATOR PISTON ASSEMBLY,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAH DOOR ACTUATOR PISTON ASSEMBLY
13BAJ,LANDING GEAR SELECTOR VALVE,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAJ LANDING GEAR SELECTOR VALVE
13BAK,SEQUENCE VALVE,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAK SEQUENCE VALVE
13BAL,DOOR CONTROL VALVE,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAL DOOR CONTROL VALVE
13BAM,DOOR CONTROL SHUTOFF VALVE,13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAM DOOR CONTROL SHUTOFF VALVE
13BAN,DOOR ACTUATOR (SC),13000 LANDING GEAR > 13B00 MLG HYDRUALIC SYSTEMS > 13BA0 MAIN GEAR HYDRAULIC COMPONENTS > 13BAN DOOR ACTUATOR (SC)
13C00,MLG BRAKE SYSTEM,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM
13C99,NOC,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13C90 > 13C99 NOC
13CB0,BRAKE HYDRAULIC COMPONENTS,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS
13CBA,BRAKE HOSE ASSEMBLY MS28741-6-0270,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBA BRAKE HOSE ASSEMBLY MS28741-6-0270
13CBB,VALVE-DUAL CONTROL (MARK II),13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBB VALVE-DUAL CONTROL (MARK II)
13CBC,AUTOMATIC BRAKE ACTUATOR (OUTBOARD),13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBC AUTOMATIC BRAKE ACTUATOR (OUTBOARD)
13CBD,BRAKE METERING VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBD BRAKE METERING VALVE
13CBE,AUTOMATIC BRAKE ACTUATOR (INBOARD),13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBE AUTOMATIC BRAKE ACTUATOR (INBOARD)
13CBF,ANTI-SKID CONTROL VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBF ANTI-SKID CONTROL VALVE
13CBG,HYDRAULIC FUSE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBG HYDRAULIC FUSE
13CBH,SHUTTLE VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBH SHUTTLE VALVE
13CBJ,DEBOOST VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBJ DEBOOST VALVE
13CBK,RESTRICTOR CHECK VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBK RESTRICTOR CHECK VALVE
13CBL,PRESSURE RELIEF VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBL PRESSURE RELIEF VALVE
13CBM,RESERVE BRAKE ACCUMULATOR,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBM RESERVE BRAKE ACCUMULATOR
13CBN,ACCUMULATOR AIR CHARGING VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBN ACCUMULATOR AIR CHARGING VALVE
13CBP,ACCUMULATOR SELECTOR VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBP ACCUMULATOR SELECTOR VALVE
13CBQ,RESTRICTOR CHECK VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBQ RESTRICTOR CHECK VALVE
13CBR,RESTRICTOR,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBR RESTRICTOR
13CBS,CHECK VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBS CHECK VALVE
13CBT,RELIEF VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBT RELIEF VALVE
13CBU,CONTROL VALVE,13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CB0 BRAKE HYDRAULIC COMPONENTS > 13CBU CONTROL VALVE
13CC0,ANTI-SKID DUAL CONTROL VALVE (MKIII),13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CC0 ANTI-SKID DUAL CONTROL VALVE (MKIII)
13CD0,"BRAKE ASSY (3 ROTOR, PN C20578000)","13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000)"
13CDA,CARRIER,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDA CARRIER"
13CDB,HEAT SINK,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDB HEAT SINK"
13CDC,PRESSURE PLATE,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDC PRESSURE PLATE"
13CDD,TORQUE TUBE,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDD TORQUE TUBE"
13CDE,ADJUSTOR ASSY,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDE ADJUSTOR ASSY"
13CDF,PISTON,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDF PISTON"
13CDG,WEAR INDICATOR PIN,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDG WEAR INDICATOR PIN"
13CDH,HIGH PRESSURE HOSES,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDH HIGH PRESSURE HOSES"
13CDJ,OVERPRESSURE RELIEF VALVE,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDJ OVERPRESSURE RELIEF VALVE"
13CDK,HEAT SHIELD,"13000 LANDING GEAR > 13C00 MLG BRAKE SYSTEM > 13CD0 BRAKE ASSY (3 ROTOR, PN C20578000) > 13CDK HEAT SHIELD"
13D00,MLG CONTROL SYSTEM,13000 LANDING GEAR > 13D00 MLG CONTROL SYSTEM
13D99,NOC,13000 LANDING GEAR > 13D00 MLG CONTROL SYSTEM > 13D90 > 13D99 NOC
13DA0,LANDING GEAR CONTROLS MECHANISM ASSEMBLY,13000 LANDING GEAR > 13D00 MLG CONTROL SYSTEM > 13DA0 LANDING GEAR CONTROLS MECHANISM ASSEMBLY
1.30E+01,MLG ELECTRICAL SYSTEM,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM
1.30E+100,NOC,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM > 13E90 > 13E99 NOC
13EA0,LANDING GEAR ELECTRICAL COMPONENTS,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM > 13EA0 LANDING GEAR ELECTRICAL COMPONENTS
13EAA,RELAY,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM > 13EA0 LANDING GEAR ELECTRICAL COMPONENTS > 13EAA RELAY
13EAB,DOOR LOCK SWITCH,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM > 13EA0 LANDING GEAR ELECTRICAL COMPONENTS > 13EAB DOOR LOCK SWITCH
13EAC,MAIN GEAR LOCK SWITCH,13000 LANDING GEAR > 13E00 MLG ELECTRICAL SYSTEM > 13EA0 LANDING GEAR ELECTRICAL COMPONENTS > 13EAC MAIN GEAR LOCK SWITCH
