wuc,description,full_context
4623A,DUAL CHECK VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46230 NO. 3 MAIN TANK (CONT) > 4623A DUAL CHECK VALVE
4623D,ACCESS DOORS,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46230 NO. 3 MAIN TANK (CONT) > 4623D ACCESS DOORS
46240,NO. 4 MAIN TANK,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK
46241,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 46241 FUEL LEVEL CONTROL VALVE
46243,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 46243 SUMP DRAIN VALVE
46245,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 46245 FUEL TANK TOPCOAT
46248,FWD BOOST PUMP,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 46248 FWD BOOST PUMP
4624A,AFT BOOST PUMP,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 4624A AFT BOOST PUMP
4624B,ACCESS DOORS,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46240 NO. 4 MAIN TANK > 4624B ACCESS DOORS
46250,NO. 4 MAIN TANK (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46250 NO. 4 MAIN TANK (CONT)
4625A,TRANSFER VALVE NO. 16,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46250 NO. 4 MAIN TANK (CONT) > 4625A TRANSFER VALVE NO. 16
46270,NO. 4 MAIN TANK (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46270 NO. 4 MAIN TANK (CONT)
46271,DUAL CHECK VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46270 NO. 4 MAIN TANK (CONT) > 46271 DUAL CHECK VALVE
46280,NO. 4 RESERVE TANK,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46280 NO. 4 RESERVE TANK
46281,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46280 NO. 4 RESERVE TANK > 46281 FUEL LEVEL CONTROL VALVE
46282,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46280 NO. 4 RESERVE TANK > 46282 SUMP DRAIN VALVE
46283,TRANSFER VALVE NO. 17,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46280 NO. 4 RESERVE TANK > 46283 TRANSFER VALVE NO. 17
46285,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46280 NO. 4 RESERVE TANK > 46285 FUEL TANK TOPCOAT
46290,NO. 4 RESERVE TANK (CONT),46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46290 NO. 4 RESERVE TANK (CONT)
46299,NOC,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46290 NO. 4 RESERVE TANK (CONT) > 46299 NOC
4629A,ACCESS DOORS,46000 FUEL SYSTEM > 46200 INTEGRAL TANKS (CONT) > 46290 NO. 4 RESERVE TANK (CONT) > 4629A ACCESS DOORS
46300,INTEGRAL TANKS (CONT),46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT)
46310,CENTER WING TANK (LH),46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46310 CENTER WING TANK (LH)
46314,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46310 CENTER WING TANK (LH) > 46314 SUMP DRAIN VALVE
46315,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46310 CENTER WING TANK (LH) > 46315 FUEL TANK TOPCOAT
46316,OVERRIDE PUMP,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46310 CENTER WING TANK (LH) > 46316 OVERRIDE PUMP
46330,CENTER WING TANK (CONT),46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46330 CENTER WING TANK (CONT)
46336,ACCESS DOORS,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46330 CENTER WING TANK (CONT) > 46336 ACCESS DOORS
46340,CENTER WING TANK (RH),46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH)
46341,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH) > 46341 FUEL LEVEL CONTROL VALVE
46344,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH) > 46344 SUMP DRAIN VALVE
46345,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH) > 46345 FUEL TANK TOPCOAT
46346,OVERRIDE PUMP,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH) > 46346 OVERRIDE PUMP
46347,ACCESS DOORS,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46340 CENTER WING TANK (RH) > 46347 ACCESS DOORS
46399,NOC,46000 FUEL SYSTEM > 46300 INTEGRAL TANKS (CONT) > 46390 > 46399 NOC
46400,BLADDER TYPE TANKS,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS
46410,FWD BODY,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46410 FWD BODY
46411,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46410 FWD BODY > 46411 FUEL LEVEL CONTROL VALVE
46413,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46410 FWD BODY > 46413 SUMP DRAIN VALVE
46420,FWD BODY (CONT),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT)
46421,CELL NO. 0 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46421 CELL NO. 0 (SC)
46422,CELL NO. 0 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46422 CELL NO. 0 ACCESS DOOR
46423,CELL NO. 1 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46423 CELL NO. 1 (SC)
46424,CELL NO. 1 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46424 CELL NO. 1 ACCESS DOOR
46425,CELL NO. 2 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46425 CELL NO. 2 (SC)
46426,CELL NO. 2 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46426 CELL NO. 2 ACCESS DOOR
46427,CELL NO. 3 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46427 CELL NO. 3 (SC)
46428,CELL NO. 3 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46428 CELL NO. 3 ACCESS DOOR
46429,INTERCONNECT FITTINGS,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46420 FWD BODY (CONT) > 46429 INTERCONNECT FITTINGS
46440,CENTER WING,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46440 CENTER WING
46445,CELL NO. 1 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46440 CENTER WING > 46445 CELL NO. 1 (SC)
46446,CELL NO. 1 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46440 CENTER WING > 46446 CELL NO. 1 ACCESS DOOR
46447,CELL NO. 2 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46440 CENTER WING > 46447 CELL NO. 2 (SC)
46448,CELL NO. 2 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46440 CENTER WING > 46448 CELL NO. 2 ACCESS DOOR
46450,CENTER WING (CONT),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT)
46451,CELL NO. 3 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46451 CELL NO. 3 ACCESS DOOR
46452,CELL NO. 4 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46452 CELL NO. 4 (SC)
46453,CELL NO. 4 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46453 CELL NO. 4 ACCESS DOOR
46454,CELL NO. 5 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46454 CELL NO. 5 (SC)
46455,CELL NO. 5 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46455 CELL NO. 5 ACCESS DOOR
46456,CELL NO. 6 (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46456 CELL NO. 6 (SC)
46457,CELL NO. 6 ACCESS DOOR,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46457 CELL NO. 6 ACCESS DOOR
46458,CELL NO. 6 MULTI-POINT REFUELING SYSTEM (SC),46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46458 CELL NO. 6 MULTI-POINT REFUELING SYSTEM (SC)
46459,INTERCONNECT FITTINGS,46000 FUEL SYSTEM > 46400 BLADDER TYPE TANKS > 46450 CENTER WING (CONT) > 46459 INTERCONNECT FITTINGS
